 #Elements L1MissRate L2MissRate L3MissRate
        50       0.00      69.28       0.07
       100       0.01      58.73       0.03
       500      17.67       6.09       0.02
      1000      18.36      15.55       0.00
      5000      18.27      11.78       0.00
     10000      18.30      18.69       0.00
     50000      18.28      10.16       0.03
    100000      18.39      20.15       0.90
    500000      18.47      51.30      78.34
   1000000      18.45      51.44      78.42
   5000000      18.45      51.60      78.49
  10000000      17.95      52.35      80.48
